feature,importance
QQEl_14_5_4.236,0.0025553598169352526
OBV,0.002534863252690406
COPC_11_14_10,0.0025213383788979023
ZIGZAGd_5.0%_10,0.0024870730374395053
EXHC_DNa,0.002484295006510386
ICS_26,0.0024588673886094346
TOS_STDEVALL_L_3,0.002439258114459276
STCmacd_10_12_26_0.5,0.002422553850095134
OBV_min_2,0.0024194331983851663
KST_10_15_20_30_10_10_10_15,0.002418567483926883
OBVe_12,0.002396438199077385
TOS_STDEVALL_L_2,0.0023950112624864187
OBVe_4,0.002385063765128167
TOS_STDEVALL_U_3,0.002363790061119512
STC_10_12_26_0.5,0.0022926943417244583
MACD_12_26_9,0.002278717176915167
TOS_STDEVALL_U_2,0.002250573147309336
NVI_1,0.002201834560919993
AD,0.0021908920951584
STCstoch_10_12_26_0.5,0.0021778137088698103
TOS_STDEVALL_LR,0.002130056952628837
OBV_max_2,0.00200542272125528
ISA_9,0.0019521266767231911
ISB_26,0.0019317861669468034
Adj Close,0.0018474495138662123
TOS_STDEVALL_L_1,0.0018247394491536677
AOBV_SR_2,0.0017730317819082048
PIVOTS_TRAD_D_R3,0.0016502755916185951
PSARaf_0.02_0.2,0.0016401157218746605
SMChv_14_50_20_5,0.0016301067747990091
PIVOTS_TRAD_D_S4,0.0014780407909659604
HWU_1,0.0014716133998780756
SUPERTl_7_3.0,0.0014291918924174728
CHDLREXTl_22_22_14_2.0,0.0014202617399869289
PSL_12,0.0014196886749358309
CHDLREXTs_22_22_14_2.0,0.0014081860995058739
ZIGZAGv_5.0%_10,0.0013987855195728633
KCLe_20_2,0.0013653786621582215
PIVOTS_TRAD_D_R4,0.001343735544812523
PIVOTS_TRAD_D_S3,0.0013329678975399983
SUPERTs_7_3.0,0.0013291071060581323
HWL_1,0.0013191807248576018
PIVOTS_TRAD_D_S2,0.0012839810151294997
PIVOTS_TRAD_D_R1,0.0012620063804343368
PSARs_0.02_0.2,0.0012527615230147956
PWMA_10,0.0012500673327217773
QTL_30_0.5,0.0012169625325757641
HWM_1,0.0012153594845691256
Open,0.001209398720507366
HLC3,0.001195280662665176
VIDYA_14,0.0011867104582676273
ACCBU_20,0.0011866680449460945
HL2,0.0011846047151812477
KCUe_20_2,0.0011833361095818355
HT_TL,0.001180935132423788
DCU_20_20,0.0011781029465674235
SUPERT_7_3.0,0.001158940572665179
HILOs_13_21,0.00115185180126414
ACCBM_20,0.0011408989993197134
BBL_5_2.0_2.0,0.0011100889770370318
ACCBL_20,0.0011053066958204552
CKSPs_10_3_20,0.0011040455706995043
HILOl_13_21,0.0010948519437819857
MIDPOINT_2,0.0010932436058805027
HWMA_0.2_0.1_0.1,0.0010918616279269916
FAMA_0.5_0.05,0.0010747797801462968
SSF3_20,0.0010726501820082827
SMA_10,0.0010679132692353011
DCL_20_20,0.0010602327070226936
SINWMA_14,0.0010539922937176734
BBM_5_2.0_2.0,0.0010375665138232563
ABER_SG_5_15,0.001026370094628497
PIVOTS_TRAD_D_P,0.0010241482577952974
PSARl_0.02_0.2,0.0010198127836004705
MEDIAN_30,0.001011642259349467
AOBV_LR_2,0.0010050127237040028
T3_10_0.7,0.0010033043806163223
BBU_5_2.0_2.0,0.000996857356913048
LDECAY_1,0.0009747858090485368
OHLC4,0.0009704439117602624
HILO_13_21,0.0009699898958977376
TRIMA_10,0.0009692709758218193
ALMA_9_6.0_0.85,0.0009616801076699256
SWMA_10,0.00095435955316185
TEMA_10,0.000953392925873307
JMA_7_0.0,0.0009533146961750415
IKS_26,0.0009524808469012837
FWMA_10,0.0009430032305975126
PIVOTS_TRAD_D_R2,0.0009397316801234611
AGj_13_8_5,0.000935811994642061
VWAP_D,0.0009353173063598337
Low,0.0009333426458448584
LINREG_14,0.00093326923444346
ZL_EMA_10,0.00093221846155808
PIVOTS_TRAD_D_S1,0.0009260837646479096
SSF_20,0.00092564470766013
High,0.0009209681696288847
KCBe_20_2,0.0009132268229816077
MIDPRICE_2,0.0009084485153470955
ITS_9,0.0008902843900916951
CKSPl_10_3_20,0.0008890795938155331
ABER_ZG_5_15,0.0008870523300958724
WMA_10,0.0008657461519360074
DEMA_10,0.0008650943265268817
ABER_XG_5_15,0.0008325640935588184
WCP,0.0008001439661902868
Close,0.0007955667306681966
KAMA_10_2_30,0.0007913257178176345
RMA_10,0.0007772704210981154
ALPHATl_14_1_50_2,0.0007732774699613091
AGt_13_8_5,0.0007716003348814887
MAMA_0.5_0.05,0.0007710990594112614
DCM_20_20,0.0007683601714317545
MCGD_10,0.0007660905567245405
EMA_10,0.0007544206438753079
AMATe_LR_8_21_2,0.0007390390739180773
ATRTSe_14_20_3.0,0.0007389407062091056
HMA_10,0.0007385578154677159
VWMA_10,0.0007315783396294842
ALPHAT_14_1_50,0.0007212818471214965
SMMA_7,0.0007203133279430413
THERMOl_20_2_0.5,0.0006840564786301338
AGl_13_8_5,0.0006421999829327657
ZIGZAGs_5.0%_10,0.0004033584506642422
AMATe_SR_8_21_2,0.0003634181391552894
PSARr_0.02_0.2,0.0003123121310226977
SQZPRO_ON_WIDE,0.00028336182289428146
SQZ_ON,0.00028026722650685966
SQZPRO_ON_NORMAL,0.00020641908272949435
SQZ_OFF,0.00020026972246818805
SQZPRO_OFF,0.000198101362276594
CHDLREXTd_22_22_14_2.0,0.00017816277057519235
SUPERTd_7_3.0,7.671808614973004e-05
SQZPRO_ON_NARROW,7.497239957642744e-20
SQZ_NO,0.0
SQZPRO_NO,0.0
TMOM_14_5_3,0.0
TMOMs_14_5_3,0.0
HWPCT_1,0.0
