feature,importance
STOCHRSId_14_14_3_3,0.0036806406420605347
ADXR_14_2,0.0036787613323132134
TSVs_18_10,0.0036766400697834443
PPOh_12_26_9,0.003654898774684508
STOCHd_14_3_3,0.0036438237836532482
TRIXs_30_9,0.0036398411187918435
SKEW_30,0.0036358967064678586
BR_26,0.0036262746969040424
VTXP_14,0.0036255194098501506
INERTIA_20_14,0.003568149504688808
STDEV_30,0.0035656635120043115
TRIX_30_9,0.003547549396154456
NATR_14,0.0035375350832326604
KURT_30,0.003499342507324996
STOCHRSIk_14_14_3_3,0.003476486942601786
TMOs_14_5_3,0.0033835617152423595
HWW_1,0.0033377884208361844
FISHERT_9_1,0.0033202039679502814
CMO_14,0.0033199236806439594
ROC_10,0.003318035459359586
VAR_30,0.0033100692150610797
ER_10,0.003275647909011508
RSX_14,0.0032516993804687926
MOM_10,0.003230385681347079
TRENDFLEX_20_20_0.04,0.0032076357609270283
MASSI_9_25,0.003153730098500728
ABER_ATR_5_15,0.0031334284340120435
MACDh_12_26_9,0.00310829123689051
RWIh_14,0.0030945366027653473
MAD_30,0.0030895822030054913
AROONOSC_14,0.003070475118982399
UI_14,0.003054274831743625
ENTP_10,0.003024382515112287
TSV_18_10,0.0030058846803261074
KSTs_9,0.0029192361074510905
ATRr_14,0.002915775119548699
PPO_12_26_9,0.0029106956048888014
SMI_5_20_5_1.0,0.002876507549437442
PVT,0.002850604322192513
EXHC_UPa,0.002837978367562067
NVI_1,0.0028358911705300537
ICS_26,0.0028222602776020287
APO_12_26,0.0028063381289291415
BIAS_SMA_26,0.002792448199451792
CCI_14_0.015,0.0027858690260928127
KST_10_15_20_30_10_10_10_15,0.002750085179488193
EXHC_DNa,0.0026740543435199104
MACD_12_26_9,0.002659058800132459
QQE_14_5_4.236,0.002649895569355865
TSIs_13_25_13,0.002638199599098896
TOS_STDEVALL_L_1,0.0026376223103239033
PPOs_12_26_9,0.0026376083072355903
SQZPRO_20_2.0_20_2.0_1.5_1.0,0.002631500217801215
PVIe_255,0.0026301156834262255
AO_5_34,0.0026043528380552926
SQZ_20_2.0_20_1.5,0.002594559801236507
QQEl_14_5_4.236,0.002575533583873026
TOS_STDEVALL_L_3,0.002569532767719403
STCmacd_10_12_26_0.5,0.002564101863580718
STC_10_12_26_0.5,0.002501997564304335
TOS_STDEVALL_U_3,0.0024915257616991227
TOS_STDEVALL_LR,0.002465918170451788
OBV_min_2,0.002416777069636643
MACDs_12_26_9,0.002410287352981574
QQE_14_5_4.236_RSIMA,0.002405284118057029
COPC_11_14_10,0.0023820527054396606
QQEs_14_5_4.236,0.002340011374324751
STCstoch_10_12_26_0.5,0.0023359331185473717
TOS_STDEVALL_U_1,0.002273230255002717
AD,0.002261317081140634
TOS_STDEVALL_U_2,0.002256299524999426
OBV,0.0022229467789472365
SMIs_5_20_5_1.0,0.0021954582945289103
TSI_13_25_13,0.002146366090522362
ISA_9,0.0020770003897809947
TOS_STDEVALL_L_2,0.002009742029588538
OBVe_4,0.00200841222817599
OBVe_12,0.0018430967811792743
OBV_max_2,0.0018290829611515831
CHDLREXTs_22_22_14_2.0,0.0017365750295065682
ISB_26,0.0016619430116342063
SMChv_14_50_20_5,0.0016225614084881192
PIVOTS_TRAD_D_R4,0.0015701672258154533
AMATe_SR_8_21_2,0.0015639917867840735
PIVOTS_TRAD_D_S3,0.0015226380630359872
Adj Close,0.0015214492873729514
VIDYA_14,0.0015140874073279527
PIVOTS_TRAD_D_S4,0.0014751400294623007
PIVOTS_TRAD_D_R2,0.0014718880509890348
HWL_1,0.0014429933493049804
PSARaf_0.02_0.2,0.0014069361889725972
PSARl_0.02_0.2,0.0014023296730262993
SUPERT_7_3.0,0.0013910531559947624
AOBV_LR_2,0.0013873102082606348
PWMA_10,0.0013854875079691788
HWU_1,0.0013644239335043212
PIVOTS_TRAD_D_S1,0.0013280978871975067
QTL_30_0.5,0.0013259876311904081
KCUe_20_2,0.0012844840215017184
PIVOTS_TRAD_D_R3,0.0012814192438500853
PSL_12,0.0012704141930154345
