,variance
BBB_5_2.0_2.0,0.006207351493564167
PVOL,0.00607614378610708
BIAS_SMA_26,0.005764998226521186
ENTP_10,0.005617159542873331
ROC_10,0.005591041244325564
DPO_20,0.005454567998363586
SMCti_14_50_20_5,0.0054017533574407675
CG_10,0.005107954885747141
KURT_30,0.00504208592685633
VAR_30,0.005019689117104723
ADOSC_3_10,0.004742570474880768
SLOPE_1,0.003884664810091825
CFO_9,0.003378139315198691
PCTRET_1,0.0032489660100842167
LOGRET_1,0.0031936689415902357
EFI_13,0.0022537099289826304
PVI,0.0021977848486926413
SQZPRO_ON_NARROW,0.0019835580350299645
TSVr_18_10,0.00040876890844008764
EOM_14_100000000,2.5730584759914015e-06
HWPCT_1,5.753125680915359e-31
SQZPRO_NO,0.0
TMOMs_14_5_3,0.0
TMOM_14_5_3,0.0
SQZ_NO,0.0
