,variance
PVOL,0.0045941849193632325
CFO_9,0.003529336615431083
THERMO_20_2_0.5,0.003491531934904247
PDIST,0.0034048646879675216
SMCti_14_50_20_5,0.003228948334499099
TSV_18_10,0.003221363590280217
SQZPRO_ON_NARROW,0.0031134736717567677
EFI_13,0.002633043490708885
PCTRET_1,0.0025402253603295927
LOGRET_1,0.002480577102012081
SLOPE_1,0.00230375526920121
PVI,0.0018517161690357088
TSVr_18_10,0.0002260157788122106
HWPCT_1,2.2613115777900403e-31
SQZPRO_NO,0.0
SQZ_NO,0.0
TMOM_14_5_3,0.0
TMOMs_14_5_3,0.0
